id,conv_id,lang_code,original_or_reenacted,time_start_rel,time_end_rel,duration,audio_path,concat_audio_path,trans_id,trans_lang_code,participant_id_unique
ES_002_2,ES_002,ES,OG,0 days 00:00:00,0 days 00:00:00.600000,0 days 00:00:00.600000,fragments-short/ES_002_2.wav,fragments-short-concatenated/ES_002l.wav,EN_002_2,EN,3
ES_002_3,ES_002,ES,OG,0 days 00:00:00.600000,0 days 00:00:01.680000,0 days 00:00:01.080000,fragments-short/ES_002_3.wav,fragments-short-concatenated/ES_002l.wav,EN_002_3,EN,3
ES_002_5,ES_002,ES,OG,0 days 00:00:01.680000,0 days 00:00:02.790000,0 days 00:00:01.110000,fragments-short/ES_002_5.wav,fragments-short-concatenated/ES_002l.wav,EN_002_5,EN,3
ES_002_7,ES_002,ES,OG,0 days 00:00:02.790000,0 days 00:00:05.040000,0 days 00:00:02.250000,fragments-short/ES_002_7.wav,fragments-short-concatenated/ES_002l.wav,EN_002_7,EN,3
ES_002_9,ES_002,ES,OG,0 days 00:00:05.040000,0 days 00:00:06.150000,0 days 00:00:01.110000,fragments-short/ES_002_9.wav,fragments-short-concatenated/ES_002l.wav,EN_002_9,EN,3
ES_002_13,ES_002,ES,OG,0 days 00:00:06.150000,0 days 00:00:08.010000,0 days 00:00:01.860000,fragments-short/ES_002_13.wav,fragments-short-concatenated/ES_002l.wav,EN_002_13,EN,3
ES_002_14,ES_002,ES,OG,0 days 00:00:08.010000,0 days 00:00:09.630000,0 days 00:00:01.620000,fragments-short/ES_002_14.wav,fragments-short-concatenated/ES_002l.wav,EN_002_14,EN,3
ES_002_16,ES_002,ES,OG,0 days 00:00:09.630000,0 days 00:00:10.990000,0 days 00:00:01.360000,fragments-short/ES_002_16.wav,fragments-short-concatenated/ES_002l.wav,EN_002_16,EN,3
ES_002_22,ES_002,ES,OG,0 days 00:00:10.990000,0 days 00:00:12.040000,0 days 00:00:01.050000,fragments-short/ES_002_22.wav,fragments-short-concatenated/ES_002l.wav,EN_002_22,EN,3
ES_002_25,ES_002,ES,OG,0 days 00:00:12.040000,0 days 00:00:13.460000,0 days 00:00:01.420000,fragments-short/ES_002_25.wav,fragments-short-concatenated/ES_002l.wav,EN_002_25,EN,3
ES_002_26,ES_002,ES,OG,0 days 00:00:13.460000,0 days 00:00:15,0 days 00:00:01.540000,fragments-short/ES_002_26.wav,fragments-short-concatenated/ES_002l.wav,EN_002_26,EN,3
ES_002_30,ES_002,ES,OG,0 days 00:00:15,0 days 00:00:15.800000,0 days 00:00:00.800000,fragments-short/ES_002_30.wav,fragments-short-concatenated/ES_002l.wav,EN_002_30,EN,3
ES_002_32,ES_002,ES,OG,0 days 00:00:15.800000,0 days 00:00:17.680000,0 days 00:00:01.880000,fragments-short/ES_002_32.wav,fragments-short-concatenated/ES_002l.wav,EN_002_32,EN,3
ES_002_33,ES_002,ES,OG,0 days 00:00:17.680000,0 days 00:00:18.950000,0 days 00:00:01.270000,fragments-short/ES_002_33.wav,fragments-short-concatenated/ES_002l.wav,EN_002_33,EN,3
ES_002_35,ES_002,ES,OG,0 days 00:00:18.950000,0 days 00:00:20.720000,0 days 00:00:01.770000,fragments-short/ES_002_35.wav,fragments-short-concatenated/ES_002l.wav,EN_002_35,EN,3
ES_002_37,ES_002,ES,OG,0 days 00:00:20.720000,0 days 00:00:21.330000,0 days 00:00:00.610000,fragments-short/ES_002_37.wav,fragments-short-concatenated/ES_002l.wav,EN_002_37,EN,3
ES_002_38,ES_002,ES,OG,0 days 00:00:21.330000,0 days 00:00:22.930000,0 days 00:00:01.600000,fragments-short/ES_002_38.wav,fragments-short-concatenated/ES_002l.wav,EN_002_38,EN,3
ES_002_41,ES_002,ES,OG,0 days 00:00:22.930000,0 days 00:00:25.260000,0 days 00:00:02.330000,fragments-short/ES_002_41.wav,fragments-short-concatenated/ES_002l.wav,EN_002_41,EN,3
ES_002_43,ES_002,ES,OG,0 days 00:00:25.260000,0 days 00:00:25.760000,0 days 00:00:00.500000,fragments-short/ES_002_43.wav,fragments-short-concatenated/ES_002l.wav,EN_002_43,EN,3
ES_004_3,ES_004,ES,OG,0 days 00:00:00,0 days 00:00:00.910000,0 days 00:00:00.910000,fragments-short/ES_004_3.wav,fragments-short-concatenated/ES_004r.wav,EN_004_3,EN,3
ES_004_6,ES_004,ES,OG,0 days 00:00:00.910000,0 days 00:00:01.520000,0 days 00:00:00.610000,fragments-short/ES_004_6.wav,fragments-short-concatenated/ES_004r.wav,EN_004_6,EN,3
ES_004_8,ES_004,ES,OG,0 days 00:00:01.520000,0 days 00:00:02.260000,0 days 00:00:00.740000,fragments-short/ES_004_8.wav,fragments-short-concatenated/ES_004r.wav,EN_004_8,EN,3
ES_004_13,ES_004,ES,OG,0 days 00:00:02.260000,0 days 00:00:03.550000,0 days 00:00:01.290000,fragments-short/ES_004_13.wav,fragments-short-concatenated/ES_004r.wav,EN_004_13,EN,3
ES_004_15,ES_004,ES,OG,0 days 00:00:03.550000,0 days 00:00:04.200000,0 days 00:00:00.650000,fragments-short/ES_004_15.wav,fragments-short-concatenated/ES_004r.wav,EN_004_15,EN,3
ES_004_16,ES_004,ES,OG,0 days 00:00:04.200000,0 days 00:00:05.120000,0 days 00:00:00.920000,fragments-short/ES_004_16.wav,fragments-short-concatenated/ES_004r.wav,EN_004_16,EN,3
ES_004_22,ES_004,ES,OG,0 days 00:00:05.120000,0 days 00:00:05.990000,0 days 00:00:00.870000,fragments-short/ES_004_22.wav,fragments-short-concatenated/ES_004r.wav,EN_004_22,EN,3
ES_004_23,ES_004,ES,OG,0 days 00:00:05.990000,0 days 00:00:07.130000,0 days 00:00:01.140000,fragments-short/ES_004_23.wav,fragments-short-concatenated/ES_004r.wav,EN_004_23,EN,3
ES_004_25,ES_004,ES,OG,0 days 00:00:07.130000,0 days 00:00:07.760000,0 days 00:00:00.630000,fragments-short/ES_004_25.wav,fragments-short-concatenated/ES_004r.wav,EN_004_25,EN,3
ES_004_26,ES_004,ES,OG,0 days 00:00:07.760000,0 days 00:00:08.720000,0 days 00:00:00.960000,fragments-short/ES_004_26.wav,fragments-short-concatenated/ES_004r.wav,EN_004_26,EN,3
ES_004_30,ES_004,ES,OG,0 days 00:00:08.720000,0 days 00:00:10.720000,0 days 00:00:02,fragments-short/ES_004_30.wav,fragments-short-concatenated/ES_004r.wav,EN_004_30,EN,3
ES_004_32,ES_004,ES,OG,0 days 00:00:10.720000,0 days 00:00:11.550000,0 days 00:00:00.830000,fragments-short/ES_004_32.wav,fragments-short-concatenated/ES_004r.wav,EN_004_32,EN,3
ES_004_34,ES_004,ES,OG,0 days 00:00:11.550000,0 days 00:00:14.020000,0 days 00:00:02.470000,fragments-short/ES_004_34.wav,fragments-short-concatenated/ES_004r.wav,EN_004_34,EN,3
ES_004_37,ES_004,ES,OG,0 days 00:00:14.020000,0 days 00:00:14.600000,0 days 00:00:00.580000,fragments-short/ES_004_37.wav,fragments-short-concatenated/ES_004r.wav,EN_004_37,EN,3
ES_004_39,ES_004,ES,OG,0 days 00:00:14.600000,0 days 00:00:15.630000,0 days 00:00:01.030000,fragments-short/ES_004_39.wav,fragments-short-concatenated/ES_004r.wav,EN_004_39,EN,3
