id,markup_value,tier_name,time_start,time_end,conv_id,trans_conv_id,lang_code,trans_lang_code,conv_audio_path,original_or_reenacted,participant_id_left,participant_id_right,participant_id_left_unique,participant_id_right_unique,trans_id,duration,audio_path
ES_001_#1,#1,Utterance,0 days 00:00:05.740000,0 days 00:00:07.020000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#1,0 days 00:00:01.280000,fragments-long/ES_001_#1.wav
ES_001_#2,#2,Utterance,0 days 00:00:26.012000,0 days 00:00:32.012000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#2,0 days 00:00:06,fragments-long/ES_001_#2.wav
ES_001_#3,#3,Utterance,0 days 00:00:37.682000,0 days 00:00:42.187000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#3,0 days 00:00:04.505000,fragments-long/ES_001_#3.wav
ES_001_#4,#4,Utterance,0 days 00:01:35.867000,0 days 00:01:44.055000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#4,0 days 00:00:08.188000,fragments-long/ES_001_#4.wav
ES_001_#5,#5,Utterance,0 days 00:03:15.980000,0 days 00:03:24.414000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#5,0 days 00:00:08.434000,fragments-long/ES_001_#5.wav
ES_001_#6,#6,Utterance,0 days 00:03:27.339000,0 days 00:03:31.527000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#6,0 days 00:00:04.188000,fragments-long/ES_001_#6.wav
ES_001_#7,#7,Utterance,0 days 00:03:46.536000,0 days 00:03:51.027000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#7,0 days 00:00:04.491000,fragments-long/ES_001_#7.wav
ES_001_#8,#8,Utterance,0 days 00:03:56.725000,0 days 00:03:58.782000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#8,0 days 00:00:02.057000,fragments-long/ES_001_#8.wav
ES_001_#9,#9,Utterance,0 days 00:04:23.880000,0 days 00:04:30.830000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#9,0 days 00:00:06.950000,fragments-long/ES_001_#9.wav
ES_001_#10,#10,Utterance,0 days 00:04:33.385000,0 days 00:04:40.026000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#10,0 days 00:00:06.641000,fragments-long/ES_001_#10.wav
ES_001_#11,#11,Utterance,0 days 00:04:55.808000,0 days 00:04:59.412000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#11,0 days 00:00:03.604000,fragments-long/ES_001_#11.wav
ES_001_#12,#12,Utterance,0 days 00:05:17.223000,0 days 00:05:24.053000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#12,0 days 00:00:06.830000,fragments-long/ES_001_#12.wav
ES_001_#13,#13,Utterance,0 days 00:05:37.553000,0 days 00:05:44.779000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#13,0 days 00:00:07.226000,fragments-long/ES_001_#13.wav
ES_001_#14,#14,Utterance,0 days 00:06:19.781000,0 days 00:06:30.911000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#14,0 days 00:00:11.130000,fragments-long/ES_001_#14.wav
ES_001_#15,#15,Utterance,0 days 00:07:33.215000,0 days 00:07:37.431000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#15,0 days 00:00:04.216000,fragments-long/ES_001_#15.wav
ES_001_#16,#16,Utterance,0 days 00:08:51.395000,0 days 00:08:59.202000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_#16,0 days 00:00:07.807000,fragments-long/ES_001_#16.wav
EN_001_#1,#1,Utterance,0 days 00:02:05.370000,0 days 00:02:07.208000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#1,0 days 00:00:01.838000,fragments-long/EN_001_#1.wav
EN_001_#2,#2,Utterance,0 days 00:05:12.807000,0 days 00:05:21.969000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#2,0 days 00:00:09.162000,fragments-long/EN_001_#2.wav
EN_001_#3,#3,Utterance,0 days 00:07:59.729000,0 days 00:08:03.863000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#3,0 days 00:00:04.134000,fragments-long/EN_001_#3.wav
EN_001_#4,#4,Utterance,0 days 00:12:36.567000,0 days 00:12:44.715000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#4,0 days 00:00:08.148000,fragments-long/EN_001_#4.wav
EN_001_#5,#5,Utterance,0 days 00:14:58.984000,0 days 00:15:05.619000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#5,0 days 00:00:06.635000,fragments-long/EN_001_#5.wav
EN_001_#6,#6,Utterance,0 days 00:17:51.486000,0 days 00:17:55.702000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#6,0 days 00:00:04.216000,fragments-long/EN_001_#6.wav
