id,participant_id_left,participant_id_right,participant_id_left_unique,participant_id_right_unique,lang_code,conv_id,original_or_reenacted,time_start,time_end,duration,trans_id
ES_001_#1,2,1,2,1,ES,ES_001,OG,0 days 00:00:05.740000,0 days 00:00:07.020000,0 days 00:00:01.280000,EN_001_#1
ES_001_#2,2,1,2,1,ES,ES_001,OG,0 days 00:00:26.012000,0 days 00:00:32.012000,0 days 00:00:06,EN_001_#2
ES_001_#3,2,1,2,1,ES,ES_001,OG,0 days 00:00:37.682000,0 days 00:00:42.187000,0 days 00:00:04.505000,EN_001_#3
ES_001_#4,2,1,2,1,ES,ES_001,OG,0 days 00:01:35.867000,0 days 00:01:44.055000,0 days 00:00:08.188000,EN_001_#4
ES_001_#5,2,1,2,1,ES,ES_001,OG,0 days 00:03:15.980000,0 days 00:03:24.414000,0 days 00:00:08.434000,EN_001_#5
ES_001_#6,2,1,2,1,ES,ES_001,OG,0 days 00:03:27.339000,0 days 00:03:31.527000,0 days 00:00:04.188000,EN_001_#6
ES_001_#7,2,1,2,1,ES,ES_001,OG,0 days 00:03:46.536000,0 days 00:03:51.027000,0 days 00:00:04.491000,EN_001_#7
ES_001_#8,2,1,2,1,ES,ES_001,OG,0 days 00:03:56.725000,0 days 00:03:58.782000,0 days 00:00:02.057000,EN_001_#8
ES_001_#9,2,1,2,1,ES,ES_001,OG,0 days 00:04:23.880000,0 days 00:04:30.830000,0 days 00:00:06.950000,EN_001_#9
ES_001_#10,2,1,2,1,ES,ES_001,OG,0 days 00:04:33.385000,0 days 00:04:40.026000,0 days 00:00:06.641000,EN_001_#10
ES_001_#11,2,1,2,1,ES,ES_001,OG,0 days 00:04:55.808000,0 days 00:04:59.412000,0 days 00:00:03.604000,EN_001_#11
ES_001_#12,2,1,2,1,ES,ES_001,OG,0 days 00:05:17.223000,0 days 00:05:24.053000,0 days 00:00:06.830000,EN_001_#12
ES_001_#13,2,1,2,1,ES,ES_001,OG,0 days 00:05:37.553000,0 days 00:05:44.779000,0 days 00:00:07.226000,EN_001_#13
ES_001_#14,2,1,2,1,ES,ES_001,OG,0 days 00:06:19.781000,0 days 00:06:30.911000,0 days 00:00:11.130000,EN_001_#14
ES_001_#15,2,1,2,1,ES,ES_001,OG,0 days 00:07:33.215000,0 days 00:07:37.431000,0 days 00:00:04.216000,EN_001_#15
ES_001_#16,2,1,2,1,ES,ES_001,OG,0 days 00:08:51.395000,0 days 00:08:59.202000,0 days 00:00:07.807000,EN_001_#16
EN_001_#1,2,1,2,1,EN,EN_001,RE,0 days 00:02:05.370000,0 days 00:02:07.208000,0 days 00:00:01.838000,ES_001_#1
EN_001_#2,2,1,2,1,EN,EN_001,RE,0 days 00:05:12.807000,0 days 00:05:21.969000,0 days 00:00:09.162000,ES_001_#2
EN_001_#3,2,1,2,1,EN,EN_001,RE,0 days 00:07:59.729000,0 days 00:08:03.863000,0 days 00:00:04.134000,ES_001_#3
EN_001_#4,2,1,2,1,EN,EN_001,RE,0 days 00:12:36.567000,0 days 00:12:44.715000,0 days 00:00:08.148000,ES_001_#4
EN_001_#5,2,1,2,1,EN,EN_001,RE,0 days 00:14:58.984000,0 days 00:15:05.619000,0 days 00:00:06.635000,ES_001_#5
EN_001_#6,2,1,2,1,EN,EN_001,RE,0 days 00:17:51.486000,0 days 00:17:55.702000,0 days 00:00:04.216000,ES_001_#6
EN_001_#7,2,1,2,1,EN,EN_001,RE,0 days 00:18:55.770000,0 days 00:19:00.851000,0 days 00:00:05.081000,ES_001_#7
EN_001_#8,2,1,2,1,EN,EN_001,RE,0 days 00:21:13.188000,0 days 00:21:15.458000,0 days 00:00:02.270000,ES_001_#8
EN_001_#9,2,1,2,1,EN,EN_001,RE,0 days 00:25:26.094000,0 days 00:25:36.155000,0 days 00:00:10.061000,ES_001_#9
EN_001_#10,2,1,2,1,EN,EN_001,RE,0 days 00:28:19.580000,0 days 00:28:26.175000,0 days 00:00:06.595000,ES_001_#10
EN_001_#11,2,1,2,1,EN,EN_001,RE,0 days 00:29:50.904000,0 days 00:29:54.025000,0 days 00:00:03.121000,ES_001_#11
EN_001_#12,2,1,2,1,EN,EN_001,RE,0 days 00:32:16.526000,0 days 00:32:23.634000,0 days 00:00:07.108000,ES_001_#12
EN_001_#13,2,1,2,1,EN,EN_001,RE,0 days 00:36:14.080000,0 days 00:36:22.567000,0 days 00:00:08.487000,ES_001_#13
EN_001_#14,2,1,2,1,EN,EN_001,RE,0 days 00:40:02.648000,0 days 00:40:14.040000,0 days 00:00:11.392000,ES_001_#14
EN_001_#15,2,1,2,1,EN,EN_001,RE,0 days 00:43:35.202000,0 days 00:43:38.459000,0 days 00:00:03.257000,ES_001_#15
EN_001_#16,2,1,2,1,EN,EN_001,RE,0 days 00:47:51.432000,0 days 00:47:58.783000,0 days 00:00:07.351000,ES_001_#16
ES_002_#1,3,4,3,4,ES,ES_002,OG,0 days 00:02:55.320000,0 days 00:02:56.990000,0 days 00:00:01.670000,EN_002_#1
ES_002_#2,3,4,3,4,ES,ES_002,OG,0 days 00:03:01.460000,0 days 00:03:02.540000,0 days 00:00:01.080000,EN_002_#2
ES_002_#3,3,4,3,4,ES,ES_002,OG,0 days 00:03:21.185000,0 days 00:03:23.645000,0 days 00:00:02.460000,EN_002_#3
ES_002_#4,3,4,3,4,ES,ES_002,OG,0 days 00:03:50.675000,0 days 00:03:54.615000,0 days 00:00:03.940000,EN_002_#4
ES_002_#5,3,4,3,4,ES,ES_002,OG,0 days 00:03:57.450000,0 days 00:04:00.870000,0 days 00:00:03.420000,EN_002_#5
ES_002_#6,3,4,3,4,ES,ES_002,OG,0 days 00:04:14.675000,0 days 00:04:22.745000,0 days 00:00:08.070000,EN_002_#6
ES_002_#7,3,4,3,4,ES,ES_002,OG,0 days 00:04:32.550000,0 days 00:04:34.170000,0 days 00:00:01.620000,EN_002_#7
ES_002_#8,3,4,3,4,ES,ES_002,OG,0 days 00:04:34.375000,0 days 00:04:38.135000,0 days 00:00:03.760000,EN_002_#8
ES_002_#9,3,4,3,4,ES,ES_002,OG,0 days 00:05:06.800000,0 days 00:05:09.130000,0 days 00:00:02.330000,EN_002_#9
ES_002_#10,3,4,3,4,ES,ES_002,OG,0 days 00:05:25.950000,0 days 00:05:28.050000,0 days 00:00:02.100000,EN_002_#10
ES_002_#11,3,4,3,4,ES,ES_002,OG,0 days 00:05:53.185000,0 days 00:05:57.075000,0 days 00:00:03.890000,EN_002_#11
ES_002_#12,3,4,3,4,ES,ES_002,OG,0 days 00:06:47.075000,0 days 00:06:50.095000,0 days 00:00:03.020000,EN_002_#12
ES_002_#13,3,4,3,4,ES,ES_002,OG,0 days 00:08:01.760000,0 days 00:08:02.930000,0 days 00:00:01.170000,EN_002_#13
ES_002_#14,3,4,3,4,ES,ES_002,OG,0 days 00:11:03.580000,0 days 00:11:10.480000,0 days 00:00:06.900000,EN_002_#14
ES_002_#15,3,4,3,4,ES,ES_002,OG,0 days 00:11:15.325000,0 days 00:11:18.485000,0 days 00:00:03.160000,EN_002_#15
ES_002_#16,3,4,3,4,ES,ES_002,OG,0 days 00:11:24.780000,0 days 00:11:29.050000,0 days 00:00:04.270000,EN_002_#16
ES_002_#17,3,4,3,4,ES,ES_002,OG,0 days 00:11:54.280000,0 days 00:11:57.350000,0 days 00:00:03.070000,EN_002_#17
ES_002_#18,3,4,3,4,ES,ES_002,OG,0 days 00:12:02.940000,0 days 00:12:04.940000,0 days 00:00:02,EN_002_#18
ES_002_#19,3,4,3,4,ES,ES_002,OG,0 days 00:12:05.930000,0 days 00:12:07.700000,0 days 00:00:01.770000,EN_002_#19
ES_002_#20,3,4,3,4,ES,ES_002,OG,0 days 00:12:24.110000,0 days 00:12:30.890000,0 days 00:00:06.780000,EN_002_#20
EN_002_#1,3,4,3,4,EN,EN_002,RE,0 days 00:00:29.620000,0 days 00:00:31.490000,0 days 00:00:01.870000,ES_002_#1
EN_002_#2,3,4,3,4,EN,EN_002,RE,0 days 00:01:53.210000,0 days 00:01:54.310000,0 days 00:00:01.100000,ES_002_#2
EN_002_#3,3,4,3,4,EN,EN_002,RE,0 days 00:03:56.900000,0 days 00:03:59.130000,0 days 00:00:02.230000,ES_002_#3
EN_002_#4,3,4,3,4,EN,EN_002,RE,0 days 00:06:45.240000,0 days 00:06:49.310000,0 days 00:00:04.070000,ES_002_#4
EN_002_#5,3,4,3,4,EN,EN_002,RE,0 days 00:09:50.740000,0 days 00:09:55.640000,0 days 00:00:04.900000,ES_002_#5
EN_002_#6,3,4,3,4,EN,EN_002,RE,0 days 00:12:14.610000,0 days 00:12:22.510000,0 days 00:00:07.900000,ES_002_#6
EN_002_#7,3,4,3,4,EN,EN_002,RE,0 days 00:13:17.160000,0 days 00:13:18.780000,0 days 00:00:01.620000,ES_002_#7
EN_002_#8,3,4,3,4,EN,EN_002,RE,0 days 00:14:36.160000,0 days 00:14:39.160000,0 days 00:00:03,ES_002_#8
EN_002_#9,3,4,3,4,EN,EN_002,RE,0 days 00:16:07.480000,0 days 00:16:09.720000,0 days 00:00:02.240000,ES_002_#9
EN_002_#10,3,4,3,4,EN,EN_002,RE,0 days 00:17:51.470000,0 days 00:17:53.850000,0 days 00:00:02.380000,ES_002_#10
EN_002_#11,3,4,3,4,EN,EN_002,RE,0 days 00:19:43.760000,0 days 00:19:46.360000,0 days 00:00:02.600000,ES_002_#11
EN_002_#12,3,4,3,4,EN,EN_002,RE,0 days 00:21:05.530000,0 days 00:21:07.840000,0 days 00:00:02.310000,ES_002_#12
EN_002_#13,3,4,3,4,EN,EN_002,RE,0 days 00:22:37.860000,0 days 00:22:38.910000,0 days 00:00:01.050000,ES_002_#13
EN_002_#14,3,4,3,4,EN,EN_002,RE,0 days 00:28:48.250000,0 days 00:28:53.430000,0 days 00:00:05.180000,ES_002_#14
EN_002_#15,3,4,3,4,EN,EN_002,RE,0 days 00:30:46.190000,0 days 00:30:49.630000,0 days 00:00:03.440000,ES_002_#15
EN_002_#16,3,4,3,4,EN,EN_002,RE,0 days 00:32:22.470000,0 days 00:32:26.730000,0 days 00:00:04.260000,ES_002_#16
EN_002_#17,3,4,3,4,EN,EN_002,RE,0 days 00:34:00.230000,0 days 00:34:04.070000,0 days 00:00:03.840000,ES_002_#17
EN_002_#18,3,4,3,4,EN,EN_002,RE,0 days 00:35:11.420000,0 days 00:35:13.050000,0 days 00:00:01.630000,ES_002_#18
EN_002_#19,3,4,3,4,EN,EN_002,RE,0 days 00:36:12.610000,0 days 00:36:14.260000,0 days 00:00:01.650000,ES_002_#19
EN_002_#20,3,4,3,4,EN,EN_002,RE,0 days 00:40:31.650000,0 days 00:40:37.740000,0 days 00:00:06.090000,ES_002_#20
ES_003_#1,5,6,5,6,ES,ES_003,OG,0 days 00:00:11.680000,0 days 00:00:12.930000,0 days 00:00:01.250000,EN_003_#1
ES_003_#2,5,6,5,6,ES,ES_003,OG,0 days 00:00:43.070000,0 days 00:00:44.410000,0 days 00:00:01.340000,EN_003_#2
ES_003_#3,5,6,5,6,ES,ES_003,OG,0 days 00:01:03.830000,0 days 00:01:08.970000,0 days 00:00:05.140000,EN_003_#3
ES_003_#4,5,6,5,6,ES,ES_003,OG,0 days 00:01:10.020000,0 days 00:01:14.960000,0 days 00:00:04.940000,EN_003_#4
ES_003_#5,5,6,5,6,ES,ES_003,OG,0 days 00:01:18.975000,0 days 00:01:20.605000,0 days 00:00:01.630000,EN_003_#5
