id,markup_value,tier_name,time_start,time_end,conv_id,trans_conv_id,lang_code,trans_lang_code,conv_audio_path,original_or_reenacted,participant_id_left,participant_id_right,participant_id_left_unique,participant_id_right_unique,trans_id,duration,remix_dict,track_side_code,participant_id,participant_id_unique,audio_path
ES_001_2,2,LittleRight,0 days 00:00:06.310000,0 days 00:00:07.020000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_2,0 days 00:00:00.710000,{1: [2]},r,1,1,fragments-short/ES_001_2.wav
ES_001_3,3,LittleRight,0 days 00:00:26.007000,0 days 00:00:27.667000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_3,0 days 00:00:01.660000,{1: [2]},r,1,1,fragments-short/ES_001_3.wav
ES_001_5,5,LittleRight,0 days 00:00:28.732000,0 days 00:00:32.002000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_5,0 days 00:00:03.270000,{1: [2]},r,1,1,fragments-short/ES_001_5.wav
ES_001_6,6,LittleRight,0 days 00:00:37.682000,0 days 00:00:39.222000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_6,0 days 00:00:01.540000,{1: [2]},r,1,1,fragments-short/ES_001_6.wav
ES_001_8,8,LittleRight,0 days 00:00:40.447000,0 days 00:00:42.187000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_8,0 days 00:00:01.740000,{1: [2]},r,1,1,fragments-short/ES_001_8.wav
ES_001_11,11,LittleRight,0 days 00:01:42.081000,0 days 00:01:43.081000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_11,0 days 00:00:01,{1: [2]},r,1,1,fragments-short/ES_001_11.wav
ES_001_13,13,LittleRight,0 days 00:03:15.982000,0 days 00:03:22.062000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_13,0 days 00:00:06.080000,{1: [2]},r,1,1,fragments-short/ES_001_13.wav
ES_001_15,15,LittleRight,0 days 00:03:23.617000,0 days 00:03:24.417000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_15,0 days 00:00:00.800000,{1: [2]},r,1,1,fragments-short/ES_001_15.wav
ES_001_17,17,LittleRight,0 days 00:03:28.463000,0 days 00:03:31.503000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_17,0 days 00:00:03.040000,{1: [2]},r,1,1,fragments-short/ES_001_17.wav
ES_001_21,21,LittleRight,0 days 00:04:23.865000,0 days 00:04:26.485000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_21,0 days 00:00:02.620000,{1: [2]},r,1,1,fragments-short/ES_001_21.wav
ES_001_29,29,LittleRight,0 days 00:05:23.160000,0 days 00:05:24.060000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_29,0 days 00:00:00.900000,{1: [2]},r,1,1,fragments-short/ES_001_29.wav
ES_001_30,30,LittleRight,0 days 00:05:37.551000,0 days 00:05:40.541000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_30,0 days 00:00:02.990000,{1: [2]},r,1,1,fragments-short/ES_001_30.wav
ES_001_36,36,LittleRight,0 days 00:06:26.455000,0 days 00:06:28.595000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_36,0 days 00:00:02.140000,{1: [2]},r,1,1,fragments-short/ES_001_36.wav
ES_001_37,37,LittleRight,0 days 00:06:29.190000,0 days 00:06:30.910000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_37,0 days 00:00:01.720000,{1: [2]},r,1,1,fragments-short/ES_001_37.wav
ES_001_38,38,LittleRight,0 days 00:07:33.218000,0 days 00:07:35.418000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_38,0 days 00:00:02.200000,{1: [2]},r,1,1,fragments-short/ES_001_38.wav
ES_001_39,39,LittleRight,0 days 00:07:35.418000,0 days 00:07:36.648000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_39,0 days 00:00:01.230000,{1: [2]},r,1,1,fragments-short/ES_001_39.wav
ES_001_42,42,LittleRight,0 days 00:08:56.680000,0 days 00:08:59.180000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_42,0 days 00:00:02.500000,{1: [2]},r,1,1,fragments-short/ES_001_42.wav
ES_001_1,1,LittleLeft,0 days 00:00:05.740000,0 days 00:00:06.330000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_1,0 days 00:00:00.590000,{1: [1]},l,2,2,fragments-short/ES_001_1.wav
ES_001_4,4,LittleLeft,0 days 00:00:27.722000,0 days 00:00:28.642000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_4,0 days 00:00:00.920000,{1: [1]},l,2,2,fragments-short/ES_001_4.wav
ES_001_10,10,LittleLeft,0 days 00:01:35.876000,0 days 00:01:42.096000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_10,0 days 00:00:06.220000,{1: [1]},l,2,2,fragments-short/ES_001_10.wav
ES_001_12,12,LittleLeft,0 days 00:01:43.076000,0 days 00:01:44.056000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_12,0 days 00:00:00.980000,{1: [1]},l,2,2,fragments-short/ES_001_12.wav
ES_001_14,14,LittleLeft,0 days 00:03:22.147000,0 days 00:03:23.777000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_14,0 days 00:00:01.630000,{1: [1]},l,2,2,fragments-short/ES_001_14.wav
ES_001_16,16,LittleLeft,0 days 00:03:27.463000,0 days 00:03:28.453000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_16,0 days 00:00:00.990000,{1: [1]},l,2,2,fragments-short/ES_001_16.wav
ES_001_18,18,LittleLeft,0 days 00:03:46.536000,0 days 00:03:49.396000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_18,0 days 00:00:02.860000,{1: [1]},l,2,2,fragments-short/ES_001_18.wav
ES_001_19,19,LittleLeft,0 days 00:03:49.401000,0 days 00:03:51.031000,ES_001,EN_001,ES,EN,recordings/ES_001.wav,OG,2,1,2,1,EN_001_19,0 days 00:00:01.630000,{1: [1]},l,2,2,fragments-short/ES_001_19.wav
