id,conv_id,lang_code,original_or_reenacted,time_start_rel,time_end_rel,duration,audio_path,concat_audio_path,trans_id,trans_lang_code,participant_id_unique
ES_001_2,ES_001,ES,OG,0 days 00:00:00,0 days 00:00:00.710000,0 days 00:00:00.710000,fragments-short/ES_001_2.wav,fragments-short-concatenated/ES_001r.wav,EN_001_2,EN,1
ES_001_3,ES_001,ES,OG,0 days 00:00:00.710000,0 days 00:00:02.370000,0 days 00:00:01.660000,fragments-short/ES_001_3.wav,fragments-short-concatenated/ES_001r.wav,EN_001_3,EN,1
ES_001_5,ES_001,ES,OG,0 days 00:00:02.370000,0 days 00:00:05.640000,0 days 00:00:03.270000,fragments-short/ES_001_5.wav,fragments-short-concatenated/ES_001r.wav,EN_001_5,EN,1
ES_001_6,ES_001,ES,OG,0 days 00:00:05.640000,0 days 00:00:07.180000,0 days 00:00:01.540000,fragments-short/ES_001_6.wav,fragments-short-concatenated/ES_001r.wav,EN_001_6,EN,1
ES_001_8,ES_001,ES,OG,0 days 00:00:07.180000,0 days 00:00:08.920000,0 days 00:00:01.740000,fragments-short/ES_001_8.wav,fragments-short-concatenated/ES_001r.wav,EN_001_8,EN,1
ES_001_11,ES_001,ES,OG,0 days 00:00:08.920000,0 days 00:00:09.920000,0 days 00:00:01,fragments-short/ES_001_11.wav,fragments-short-concatenated/ES_001r.wav,EN_001_11,EN,1
ES_001_13,ES_001,ES,OG,0 days 00:00:09.920000,0 days 00:00:16,0 days 00:00:06.080000,fragments-short/ES_001_13.wav,fragments-short-concatenated/ES_001r.wav,EN_001_13,EN,1
ES_001_15,ES_001,ES,OG,0 days 00:00:16,0 days 00:00:16.800000,0 days 00:00:00.800000,fragments-short/ES_001_15.wav,fragments-short-concatenated/ES_001r.wav,EN_001_15,EN,1
ES_001_17,ES_001,ES,OG,0 days 00:00:16.800000,0 days 00:00:19.840000,0 days 00:00:03.040000,fragments-short/ES_001_17.wav,fragments-short-concatenated/ES_001r.wav,EN_001_17,EN,1
ES_001_21,ES_001,ES,OG,0 days 00:00:19.840000,0 days 00:00:22.460000,0 days 00:00:02.620000,fragments-short/ES_001_21.wav,fragments-short-concatenated/ES_001r.wav,EN_001_21,EN,1
ES_001_29,ES_001,ES,OG,0 days 00:00:22.460000,0 days 00:00:23.360000,0 days 00:00:00.900000,fragments-short/ES_001_29.wav,fragments-short-concatenated/ES_001r.wav,EN_001_29,EN,1
ES_001_30,ES_001,ES,OG,0 days 00:00:23.360000,0 days 00:00:26.350000,0 days 00:00:02.990000,fragments-short/ES_001_30.wav,fragments-short-concatenated/ES_001r.wav,EN_001_30,EN,1
ES_001_36,ES_001,ES,OG,0 days 00:00:26.350000,0 days 00:00:28.490000,0 days 00:00:02.140000,fragments-short/ES_001_36.wav,fragments-short-concatenated/ES_001r.wav,EN_001_36,EN,1
ES_001_37,ES_001,ES,OG,0 days 00:00:28.490000,0 days 00:00:30.210000,0 days 00:00:01.720000,fragments-short/ES_001_37.wav,fragments-short-concatenated/ES_001r.wav,EN_001_37,EN,1
ES_001_38,ES_001,ES,OG,0 days 00:00:30.210000,0 days 00:00:32.410000,0 days 00:00:02.200000,fragments-short/ES_001_38.wav,fragments-short-concatenated/ES_001r.wav,EN_001_38,EN,1
ES_001_39,ES_001,ES,OG,0 days 00:00:32.410000,0 days 00:00:33.640000,0 days 00:00:01.230000,fragments-short/ES_001_39.wav,fragments-short-concatenated/ES_001r.wav,EN_001_39,EN,1
ES_001_42,ES_001,ES,OG,0 days 00:00:33.640000,0 days 00:00:36.140000,0 days 00:00:02.500000,fragments-short/ES_001_42.wav,fragments-short-concatenated/ES_001r.wav,EN_001_42,EN,1
ES_001_1,ES_001,ES,OG,0 days 00:00:00,0 days 00:00:00.590000,0 days 00:00:00.590000,fragments-short/ES_001_1.wav,fragments-short-concatenated/ES_001l.wav,EN_001_1,EN,2
ES_001_4,ES_001,ES,OG,0 days 00:00:00.590000,0 days 00:00:01.510000,0 days 00:00:00.920000,fragments-short/ES_001_4.wav,fragments-short-concatenated/ES_001l.wav,EN_001_4,EN,2
ES_001_10,ES_001,ES,OG,0 days 00:00:01.510000,0 days 00:00:07.730000,0 days 00:00:06.220000,fragments-short/ES_001_10.wav,fragments-short-concatenated/ES_001l.wav,EN_001_10,EN,2
ES_001_12,ES_001,ES,OG,0 days 00:00:07.730000,0 days 00:00:08.710000,0 days 00:00:00.980000,fragments-short/ES_001_12.wav,fragments-short-concatenated/ES_001l.wav,EN_001_12,EN,2
ES_001_14,ES_001,ES,OG,0 days 00:00:08.710000,0 days 00:00:10.340000,0 days 00:00:01.630000,fragments-short/ES_001_14.wav,fragments-short-concatenated/ES_001l.wav,EN_001_14,EN,2
ES_001_16,ES_001,ES,OG,0 days 00:00:10.340000,0 days 00:00:11.330000,0 days 00:00:00.990000,fragments-short/ES_001_16.wav,fragments-short-concatenated/ES_001l.wav,EN_001_16,EN,2
ES_001_18,ES_001,ES,OG,0 days 00:00:11.330000,0 days 00:00:14.190000,0 days 00:00:02.860000,fragments-short/ES_001_18.wav,fragments-short-concatenated/ES_001l.wav,EN_001_18,EN,2
ES_001_19,ES_001,ES,OG,0 days 00:00:14.190000,0 days 00:00:15.820000,0 days 00:00:01.630000,fragments-short/ES_001_19.wav,fragments-short-concatenated/ES_001l.wav,EN_001_19,EN,2
