id,participant_id,participant_id_unique,lang_code,conv_id,original_or_reenacted,time_start,time_end,duration,trans_id
ES_001_2,1,1,ES,ES_001,OG,0 days 00:00:06.310000,0 days 00:00:07.020000,0 days 00:00:00.710000,EN_001_2
ES_001_3,1,1,ES,ES_001,OG,0 days 00:00:26.007000,0 days 00:00:27.667000,0 days 00:00:01.660000,EN_001_3
ES_001_5,1,1,ES,ES_001,OG,0 days 00:00:28.732000,0 days 00:00:32.002000,0 days 00:00:03.270000,EN_001_5
ES_001_6,1,1,ES,ES_001,OG,0 days 00:00:37.682000,0 days 00:00:39.222000,0 days 00:00:01.540000,EN_001_6
ES_001_8,1,1,ES,ES_001,OG,0 days 00:00:40.447000,0 days 00:00:42.187000,0 days 00:00:01.740000,EN_001_8
ES_001_11,1,1,ES,ES_001,OG,0 days 00:01:42.081000,0 days 00:01:43.081000,0 days 00:00:01,EN_001_11
ES_001_13,1,1,ES,ES_001,OG,0 days 00:03:15.982000,0 days 00:03:22.062000,0 days 00:00:06.080000,EN_001_13
ES_001_15,1,1,ES,ES_001,OG,0 days 00:03:23.617000,0 days 00:03:24.417000,0 days 00:00:00.800000,EN_001_15
ES_001_17,1,1,ES,ES_001,OG,0 days 00:03:28.463000,0 days 00:03:31.503000,0 days 00:00:03.040000,EN_001_17
ES_001_21,1,1,ES,ES_001,OG,0 days 00:04:23.865000,0 days 00:04:26.485000,0 days 00:00:02.620000,EN_001_21
ES_001_29,1,1,ES,ES_001,OG,0 days 00:05:23.160000,0 days 00:05:24.060000,0 days 00:00:00.900000,EN_001_29
ES_001_30,1,1,ES,ES_001,OG,0 days 00:05:37.551000,0 days 00:05:40.541000,0 days 00:00:02.990000,EN_001_30
ES_001_36,1,1,ES,ES_001,OG,0 days 00:06:26.455000,0 days 00:06:28.595000,0 days 00:00:02.140000,EN_001_36
ES_001_37,1,1,ES,ES_001,OG,0 days 00:06:29.190000,0 days 00:06:30.910000,0 days 00:00:01.720000,EN_001_37
ES_001_38,1,1,ES,ES_001,OG,0 days 00:07:33.218000,0 days 00:07:35.418000,0 days 00:00:02.200000,EN_001_38
ES_001_39,1,1,ES,ES_001,OG,0 days 00:07:35.418000,0 days 00:07:36.648000,0 days 00:00:01.230000,EN_001_39
ES_001_42,1,1,ES,ES_001,OG,0 days 00:08:56.680000,0 days 00:08:59.180000,0 days 00:00:02.500000,EN_001_42
ES_001_1,2,2,ES,ES_001,OG,0 days 00:00:05.740000,0 days 00:00:06.330000,0 days 00:00:00.590000,EN_001_1
ES_001_4,2,2,ES,ES_001,OG,0 days 00:00:27.722000,0 days 00:00:28.642000,0 days 00:00:00.920000,EN_001_4
ES_001_10,2,2,ES,ES_001,OG,0 days 00:01:35.876000,0 days 00:01:42.096000,0 days 00:00:06.220000,EN_001_10
ES_001_12,2,2,ES,ES_001,OG,0 days 00:01:43.076000,0 days 00:01:44.056000,0 days 00:00:00.980000,EN_001_12
ES_001_14,2,2,ES,ES_001,OG,0 days 00:03:22.147000,0 days 00:03:23.777000,0 days 00:00:01.630000,EN_001_14
ES_001_16,2,2,ES,ES_001,OG,0 days 00:03:27.463000,0 days 00:03:28.453000,0 days 00:00:00.990000,EN_001_16
ES_001_18,2,2,ES,ES_001,OG,0 days 00:03:46.536000,0 days 00:03:49.396000,0 days 00:00:02.860000,EN_001_18
ES_001_19,2,2,ES,ES_001,OG,0 days 00:03:49.401000,0 days 00:03:51.031000,0 days 00:00:01.630000,EN_001_19
ES_001_20,2,2,ES,ES_001,OG,0 days 00:03:56.725000,0 days 00:03:58.782000,0 days 00:00:02.057000,EN_001_20
ES_001_22,2,2,ES,ES_001,OG,0 days 00:04:27.040000,0 days 00:04:30.820000,0 days 00:00:03.780000,EN_001_22
ES_001_23,2,2,ES,ES_001,OG,0 days 00:04:33.380000,0 days 00:04:34.500000,0 days 00:00:01.120000,EN_001_23
ES_001_24,2,2,ES,ES_001,OG,0 days 00:04:34.505000,0 days 00:04:37.165000,0 days 00:00:02.660000,EN_001_24
ES_001_25,2,2,ES,ES_001,OG,0 days 00:04:37.340000,0 days 00:04:39.890000,0 days 00:00:02.550000,EN_001_25
ES_001_26,2,2,ES,ES_001,OG,0 days 00:04:56.525000,0 days 00:04:58.365000,0 days 00:00:01.840000,EN_001_26
ES_001_27,2,2,ES,ES_001,OG,0 days 00:05:17.233000,0 days 00:05:20.163000,0 days 00:00:02.930000,EN_001_27
ES_001_28,2,2,ES,ES_001,OG,0 days 00:05:20.770000,0 days 00:05:23.160000,0 days 00:00:02.390000,EN_001_28
ES_001_31,2,2,ES,ES_001,OG,0 days 00:05:40.820000,0 days 00:05:43.080000,0 days 00:00:02.260000,EN_001_31
ES_001_33,2,2,ES,ES_001,OG,0 days 00:06:19.781000,0 days 00:06:23.021000,0 days 00:00:03.240000,EN_001_33
ES_001_34,2,2,ES,ES_001,OG,0 days 00:06:23.110000,0 days 00:06:23.790000,0 days 00:00:00.680000,EN_001_34
ES_001_35,2,2,ES,ES_001,OG,0 days 00:06:23.885000,0 days 00:06:26.415000,0 days 00:00:02.530000,EN_001_35
