id,id_unique,lang1,lang2,lang_strength,dialect_note1,dialect_note2,is_producer
1,1,EN,ES,1,El Paso,Chihuahua City,
2,2,EN,ES,4,El Paso,Chihuahua City,
3,3,EN,ES,2,El Paso,El Paso/Juarez,*
4,4,EN,ES,3,El Paso,El Paso/Juarez,
5,5,EN,ES,3,El Paso,El Paso/Juarez,
6,6,EN,ES,1,El Paso,Chihuahua City,
7,7,EN,ES,3,El Paso,El Paso/Juarez,
8,3,EN,ES,2,El Paso,El Paso/Juarez,*
9,8,EN,ES,1,El Paso,El Paso/Juarez,
10,3,EN,ES,2,El Paso,El Paso/Juarez,*
11,9,EN,ES,3,El Paso,El Paso/Juarez,
12,3,EN,ES,2,El Paso,El Paso/Juarez,*
13,3,EN,ES,2,El Paso,El Paso/Juarez,*
14,4,EN,ES,3,El Paso,El Paso/Juarez,
15,10,EN,ES,2,El Paso,El Paso/Juarez,
16,10,EN,ES,4,El Paso,Chihuahua City,
17,11,EN,ES,3,El Paso,El Paso/Juarez,
18,12,EN,ES,5,El Paso,El Paso/Juarez,
19,13,EN,ES,2,El Paso,El Paso/Juarez,
20,3,EN,ES,2,El Paso,El Paso/Juarez,*
21,14,EN,ES,3,El Paso,Other: Guanajuato,
22,3,EN,ES,2,El Paso,El Paso/Juarez,*
23,15,EN,ES,2,California,California,
24,16,EN,ES,4,El Paso,El Paso/Juarez,
25,17,EN,ES,4,El Paso,Chihuahua City,
26,18,EN,ES,2,El Paso,El Paso/Juarez,
27,13,EN,ES,2,El Paso,El Paso/Juarez,
28,19,EN,ES,4,El Paso,El Paso/Juarez,
29,14,EN,ES,3,El Paso,Other: Guanajuato,
30,20,EN,ES,1,El Paso,El Paso/Juarez,
31,11,EN,ES,3,El Paso,El Paso/Juarez,
32,21,EN,ES,3,El Paso,El Paso/Juarez,
33,3,EN,ES,2,El Paso,El Paso/Juarez,*
34,13,EN,ES,2,El Paso,El Paso/Juarez,
35,22,EN,ES,3,El Paso,El Paso/Juarez,
36,12,EN,ES,5,El Paso,El Paso/Juarez,
37,3,EN,ES,2,El Paso,El Paso/Juarez,*
38,23,EN,ES,1,El Paso,El Paso/Juarez,
