		rho
EN-cr-0-5	ES-cr-0-5	0.05
EN-cr-0-5	ES-cr-5-10	0.02
EN-cr-0-5	ES-cr-10-20	0.02
EN-cr-0-5	ES-cr-20-30	0.02
EN-cr-0-5	ES-cr-30-50	-0.02
EN-cr-0-5	ES-cr-50-70	-0.00
EN-cr-0-5	ES-cr-70-80	0.01
EN-cr-0-5	ES-cr-80-90	0.02
EN-cr-0-5	ES-cr-90-95	0.05
EN-cr-0-5	ES-cr-95-100	0.05
EN-cr-0-5	ES-sr-0-5	0.03
EN-cr-0-5	ES-sr-5-10	0.02
EN-cr-0-5	ES-sr-10-20	0.04
EN-cr-0-5	ES-sr-20-30	0.04
EN-cr-0-5	ES-sr-30-50	0.05
EN-cr-0-5	ES-sr-50-70	0.06
EN-cr-0-5	ES-sr-70-80	0.03
EN-cr-0-5	ES-sr-80-90	0.04
EN-cr-0-5	ES-sr-90-95	0.02
EN-cr-0-5	ES-sr-95-100	0.02
EN-cr-0-5	ES-tl-0-5	0.01
EN-cr-0-5	ES-tl-5-10	0.01
EN-cr-0-5	ES-tl-10-20	-0.03
EN-cr-0-5	ES-tl-20-30	-0.02
EN-cr-0-5	ES-tl-30-50	-0.03
EN-cr-0-5	ES-tl-50-70	-0.00
EN-cr-0-5	ES-tl-70-80	0.02
EN-cr-0-5	ES-tl-80-90	0.03
EN-cr-0-5	ES-tl-90-95	0.04
EN-cr-0-5	ES-tl-95-100	0.02
EN-cr-0-5	ES-th-0-5	0.07
EN-cr-0-5	ES-th-5-10	0.04
EN-cr-0-5	ES-th-10-20	0.07
EN-cr-0-5	ES-th-20-30	0.04
EN-cr-0-5	ES-th-30-50	0.02
EN-cr-0-5	ES-th-50-70	-0.00
EN-cr-0-5	ES-th-70-80	-0.01
EN-cr-0-5	ES-th-80-90	-0.00
EN-cr-0-5	ES-th-90-95	0.02
EN-cr-0-5	ES-th-95-100	0.05
EN-cr-0-5	ES-wp-0-5	0.04
EN-cr-0-5	ES-wp-5-10	-0.00
EN-cr-0-5	ES-wp-10-20	-0.00
EN-cr-0-5	ES-wp-20-30	0.00
EN-cr-0-5	ES-wp-30-50	-0.05
EN-cr-0-5	ES-wp-50-70	-0.04
EN-cr-0-5	ES-wp-70-80	-0.02
EN-cr-0-5	ES-wp-80-90	-0.00
EN-cr-0-5	ES-wp-90-95	0.03
EN-cr-0-5	ES-wp-95-100	0.04
EN-cr-0-5	ES-np-0-5	0.01
EN-cr-0-5	ES-np-5-10	-0.01
EN-cr-0-5	ES-np-10-20	-0.02
EN-cr-0-5	ES-np-20-30	-0.03
EN-cr-0-5	ES-np-30-50	-0.01
EN-cr-0-5	ES-np-50-70	-0.02
EN-cr-0-5	ES-np-70-80	0.01
EN-cr-0-5	ES-np-80-90	0.01
EN-cr-0-5	ES-np-90-95	0.03
EN-cr-0-5	ES-np-95-100	0.03
EN-cr-0-5	ES-vo-0-5	0.07
EN-cr-0-5	ES-vo-5-10	0.04
EN-cr-0-5	ES-vo-10-20	0.04
EN-cr-0-5	ES-vo-20-30	0.00
EN-cr-0-5	ES-vo-30-50	-0.01
EN-cr-0-5	ES-vo-50-70	0.02
EN-cr-0-5	ES-vo-70-80	0.04
EN-cr-0-5	ES-vo-80-90	0.05
EN-cr-0-5	ES-vo-90-95	0.08
EN-cr-0-5	ES-vo-95-100	0.06
EN-cr-0-5	ES-le-0-5	-0.02
EN-cr-0-5	ES-le-5-10	-0.01
EN-cr-0-5	ES-le-10-20	-0.02
EN-cr-0-5	ES-le-20-30	-0.02
EN-cr-0-5	ES-le-30-50	-0.03
EN-cr-0-5	ES-le-50-70	-0.01
EN-cr-0-5	ES-le-70-80	-0.02
EN-cr-0-5	ES-le-80-90	-0.01
EN-cr-0-5	ES-le-90-95	-0.02
EN-cr-0-5	ES-le-95-100	-0.03
EN-cr-0-5	ES-cp-0-5	0.05
EN-cr-0-5	ES-cp-5-10	0.06
